epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3256.01,2.92816,1.16017,0.82848,0.4883,0.37701,0.34412,0.09463,2.83112,1.10772,0.80638,0.0007922,0.0007922,0.0007922
63,3312.89,2.91975,1.16695,0.81013,0.48932,0.39638,0.35175,0.09494,2.82399,1.11202,0.799,0.0007724,0.0007724,0.0007724
64,3370.32,2.93,1.18306,0.8193,0.48892,0.39425,0.35185,0.09798,2.75497,1.08928,0.7993,0.0007526,0.0007526,0.0007526
65,3420.84,2.83611,1.13722,0.82647,0.47994,0.37533,0.3331,0.09186,2.81418,1.0981,0.80337,0.0007328,0.0007328,0.0007328
66,3472.27,2.88225,1.15909,0.82805,0.49667,0.39673,0.35626,0.09847,2.77675,1.08788,0.8005,0.000713,0.000713,0.000713
67,3525.12,2.91477,1.16832,0.81628,0.49489,0.40959,0.36179,0.09992,2.76946,1.08391,0.79637,0.0006932,0.0006932,0.0006932
68,3577.85,2.84754,1.15316,0.81116,0.50171,0.4019,0.36063,0.10198,2.72579,1.07981,0.79839,0.0006734,0.0006734,0.0006734
69,3630.86,2.90693,1.179,0.80785,0.52582,0.4043,0.38089,0.10599,2.71411,1.08132,0.79597,0.0006536,0.0006536,0.0006536
70,3682.85,2.84326,1.1643,0.8212,0.53498,0.4037,0.38055,0.10756,2.71765,1.06694,0.79801,0.0006338,0.0006338,0.0006338
71,3732.26,2.79732,1.14381,0.82679,0.49347,0.38483,0.34755,0.10009,2.76203,1.07492,0.8045,0.000614,0.000614,0.000614
72,3784.5,2.86309,1.15525,0.82087,0.50304,0.40995,0.37489,0.10472,2.74721,1.07803,0.79559,0.0005942,0.0005942,0.0005942
73,3834.43,2.86333,1.1707,0.81704,0.5021,0.40923,0.36786,0.09947,2.77052,1.08382,0.79462,0.0005744,0.0005744,0.0005744
